temperatura,fim_de_semana,promocao,vendas
20,0,1,132
15.5,0,0,101
32.1,0,0,152
16.8,0,1,138
26,0,1,156
31.4,1,1,208
15.4,1,0,145
22.6,0,0,124
34.8,0,0,147
17.5,0,0,105
19.3,0,1,124
32.7,0,0,150
21.7,1,0,152
33.4,1,0,190
17.4,0,0,97
29,0,0,133
32.6,0,0,152
18.1,0,1,136
23.5,0,0,111
31.5,1,0,183
20.7,1,0,157
21.3,0,0,106
28,0,0,132
29,0,0,134
23.4,0,0,126
26.4,0,0,122
25,1,0,175
21.2,1,0,149
24.2,0,0,123
21.1,0,0,112
29.4,0,0,139
33.1,0,0,159
27.4,0,0,129
20,1,0,149
22.1,1,0,151
26.8,0,1,145
20.6,0,0,118
27,0,0,135
32.6,0,0,153
20.5,0,1,128
23.8,1,0,164
28.9,1,0,178
30.1,0,0,146
30.9,0,0,140
29,0,1,160
19.6,0,0,116
17.4,0,0,104
18.1,1,0,148
19.5,1,0,160
16.8,0,0,107
32.8,0,0,153
19.8,0,0,104
23.5,0,1,148
19.6,0,1,141
23.7,1,1,183
24,1,0,161
19.6,0,0,111
18.7,0,0,112
24.2,0,1,154
15.8,0,0,93
