espessura_mm,peso_g,defeituosa
5.99,165.6,1
7.88,174.3,1
3.85,141.0,0
3.72,127.6,0
4.88,139.1,0
7.8,178.1,1
4.47,145.4,0
4.28,108.9,0
5.84,146.4,1
5.27,144.8,1
4.34,113.4,0
3.39,125.4,0
7.54,172.4,1
5.05,113.5,0
3.79,105.6,0
6.21,174.0,1
6.42,159.3,1
4.82,120.3,0
4.12,126.6,0
4.23,141.7,0
6.38,153.4,1
7.11,153.1,1
4.11,119.3,0
4.26,127.1,0
7.73,165.1,1
7.35,160.9,1
7.31,171.1,1
5.87,172.0,1
7.14,175.9,1
3.99,147.5,0
4.79,105.3,0
3.77,121.9,0
4.44,126.6,0
6.45,162.0,1
3.74,132.2,0
6.91,166.2,1
7.83,157.4,1
2.69,139.5,0
4.27,129.0,0
7.56,155.4,1
3.9,106.6,0
6.3,149.0,1
5.09,106.3,0
4.06,132.2,0
3.38,141.4,0
5.94,183.5,1
4.62,119.9,0
7.08,181.5,1
6.53,176.4,1
3.85,124.8,0
6.29,164.4,1
6.73,133.7,1
6.27,153.7,1
7.11,145.6,1
3.6,131.0,0
6.73,169.5,1
8.0,168.0,1
3.72,117.9,0
4.43,130.5,0
6.82,155.4,1
